"host_total_listings_count","host_has_profile_pic","host_identity_verified","accommodates","bedrooms","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_days_since_joining","host_response_time_category","host_response_rate_percentage","host_acceptance_rate_percentage","host_is_superhost_filled","neighbourhood_grouped","dist_to_dt","property_type_grouped","entire_home_apt","bathrooms_numeric","security","essentials","kitchen_amenities","entertainment","bedroom_amenities","work","parking","toiletries","climate_control","convenience_features","price_numeric"
2,TRUE,TRUE,6,2,3,1,2,1,1,2,2,1,2,TRUE,2,2,2,2,604,40,3,4.93,4.92,4.92,4.98,4.99,4.94,4.87,FALSE,1,1,0,0,5.94,3198,"within an hour",1,0.99,FALSE,"Asheville",2.5627866590126,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,150
17,TRUE,TRUE,2,NA,1,1,21,1,4,1,21,1.4,17.3,TRUE,12,31,52,226,703,95,7,4.92,4.98,4.96,4.98,4.96,4.97,4.79,TRUE,9,9,0,0,6.97,3707,"within an hour",1,0.99,TRUE,"Asheville",0.0883914491640037,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,144
3,TRUE,TRUE,10,3,6,3,31,2,5,30,1125,3.2,1060.6,TRUE,7,23,39,290,124,13,0,4.99,4.98,5,5,5,4.97,4.88,TRUE,3,3,0,0,1.29,3871,"within an hour",1,1,TRUE,"Asheville",3.80492270304575,"Entire Place",TRUE,2.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,206
1,TRUE,TRUE,5,1,3,2,1124,2,2,1124,1124,2,1124,TRUE,8,18,28,267,107,15,0,4.93,4.95,4.99,4.8,4.88,4.96,4.75,FALSE,1,1,0,0,1.08,3049,"within an hour",1,0.76,FALSE,"Asheville",2.16350270950196,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,236
2,TRUE,TRUE,2,1,1,30,120,30,30,120,120,30,120,TRUE,0,5,35,310,1,0,0,5,4,5,5,5,4,5,FALSE,1,1,0,0,0.01,3048,"N/A",NA,NA,FALSE,"Others",8.794511311021,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,49
3,TRUE,TRUE,2,NA,1,2,14,2,2,14,14,2,14,TRUE,0,0,0,0,193,18,1,4.97,4.98,4.96,4.97,4.98,4.98,4.97,FALSE,1,0,1,0,2.2,3718,"within an hour",1,1,FALSE,"Asheville",4.01823986154757,"Private Room",FALSE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,99
4,TRUE,TRUE,6,2,3,1,1125,1,1,1125,1125,1,1125,TRUE,5,16,18,249,280,11,0,4.91,4.93,4.81,5,4.99,4.97,4.81,FALSE,1,1,0,0,2.79,3035,"within an hour",1,1,TRUE,"Asheville",2.80931655860143,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,200
1,TRUE,TRUE,2,1,1,1,1125,1,2,1125,1125,1.3,1125,TRUE,25,43,73,334,199,68,9,4.95,4.93,4.92,5,4.98,4.97,4.92,FALSE,1,1,0,0,2,3034,"within an hour",1,0.99,TRUE,"Asheville",1.56353471279053,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,128
1,TRUE,TRUE,2,1,1,28,120,3,28,1125,1125,26.3,1125,TRUE,15,15,36,216,108,0,0,4.86,4.94,4.87,4.95,4.97,4.79,4.83,TRUE,1,1,0,0,1.07,3031,"within an hour",1,1,FALSE,"Asheville",3.52441007773842,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,75
4,TRUE,TRUE,4,2,2,1,1125,1,2,1125,1125,1.3,1125,TRUE,7,22,47,129,458,105,6,4.86,4.91,4.87,4.9,4.77,4.79,4.77,FALSE,3,3,0,0,4.6,3015,"within an hour",1,0.91,TRUE,"Asheville",1.34710166316676,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,143
4,TRUE,TRUE,4,1,2,2,1125,2,2,1125,1125,2,1125,TRUE,28,58,88,363,227,24,1,4.62,4.8,4.81,4.91,4.83,4.74,4.53,FALSE,2,2,0,0,2.3,4050,"within a few hours",1,0.91,TRUE,"Asheville",1.81523673313848,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,103
12,TRUE,TRUE,6,1,4,2,91,2,2,1125,1125,2,1125,TRUE,0,0,23,298,334,29,2,4.94,4.96,4.97,4.92,4.97,4.81,4.9,FALSE,1,1,0,0,3.87,3001,"within an hour",1,1,TRUE,"Arden",10.3810576939164,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,68
3,TRUE,TRUE,2,1,1,1,4,1,2,1125,1125,1.3,1125,TRUE,2,2,2,2,325,42,2,4.72,4.86,4.85,4.97,4.94,4.87,4.76,FALSE,1,1,0,0,3.25,3734,"within an hour",1,1,TRUE,"Asheville",0.879041209662578,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,107
1,TRUE,TRUE,8,4,4,4,1125,4,4,1125,1125,4,1125,TRUE,23,41,62,323,139,8,1,4.88,4.92,4.87,4.98,4.98,4.91,4.83,FALSE,1,1,0,0,1.43,3198,"within an hour",1,0.91,TRUE,"Asheville",5.0847697080645,"Entire Place",TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,263
1,TRUE,TRUE,2,NA,1,2,1125,2,2,1125,1125,2,1125,TRUE,24,51,81,356,103,8,0,4.96,4.98,4.95,4.99,5,4.9,4.96,FALSE,1,0,1,0,1.22,2993,"within an hour",1,1,FALSE,"Candler",5.69716575590445,"Private Room",FALSE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,83
1,TRUE,TRUE,2,1,1,2,1125,2,2,1125,1125,2,1125,TRUE,18,39,61,151,13,13,4,4.85,4.92,5,4.92,5,4.77,4.85,FALSE,1,1,0,0,3.42,3386,"within a few hours",1,0.93,FALSE,"Asheville",0.471673186709889,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,132
2,TRUE,TRUE,3,NA,2,2,180,2,2,1125,1125,2,1125,TRUE,30,30,30,30,74,11,1,4.74,4.73,4.18,4.91,4.92,4.85,4.7,FALSE,2,0,2,0,1.33,2988,"within an hour",1,0.98,FALSE,"Asheville",7.48736295345968,"Private Room",FALSE,1.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,70
3,TRUE,TRUE,2,1,1,1,30,1,2,30,30,1.3,30,TRUE,11,11,29,275,926,91,3,4.92,4.98,4.97,4.97,4.98,4.88,4.87,FALSE,1,1,0,0,9.33,4128,"within an hour",1,1,TRUE,"Asheville",2.00603380246392,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,107
