"host_total_listings_count","host_has_profile_pic","host_identity_verified","accommodates","bedrooms","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_days_since_joining","host_response_time_category","host_response_rate_percentage","host_acceptance_rate_percentage","host_is_superhost_filled","neighbourhood_grouped","dist_to_dt","property_type_grouped","entire_home_apt","bathrooms_numeric","security","essentials","kitchen_amenities","entertainment","bedroom_amenities","work","parking","toiletries","climate_control","convenience_features","price_numeric"
2,TRUE,TRUE,2,1,1,2,1125,2,2,1125,1125,2,1125,TRUE,26,54,84,174,62,9,0,4.98,4.95,4.89,4.98,5,4.93,4.95,FALSE,1,1,0,0,1.08,3826,"within an hour",1,0.95,TRUE,"Asheville",5.61152964683195,"Non-Traditional",TRUE,0.5,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,60
1,TRUE,TRUE,2,1,1,1,1125,1,1,1125,1125,1,1125,TRUE,0,16,46,136,250,18,0,4.91,4.98,4.93,5,4.98,4.97,4.93,FALSE,1,1,0,0,4.29,2648,"N/A",NA,0.96,TRUE,"Asheville",4.87082485150226,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,85
1,TRUE,TRUE,4,NA,2,2,7,1,2,7,7,1.4,7,TRUE,1,17,47,227,120,13,0,4.9,4.98,4.99,5,5,4.86,4.88,TRUE,1,1,0,0,2.05,1897,"within an hour",1,1,TRUE,"Asheville",4.19974977083192,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90
1,TRUE,FALSE,2,1,2,1,1125,1,1,1125,1125,1,1125,TRUE,17,47,77,157,275,45,5,4.95,4.96,4.97,4.99,4.99,4.96,4.81,TRUE,1,1,0,0,4.71,2656,"within an hour",1,0.99,TRUE,"Asheville",3.03025278443663,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,170
2,TRUE,TRUE,4,2,3,3,180,3,3,180,180,3,180,TRUE,0,16,46,122,100,13,0,4.94,4.97,4.99,4.96,4.97,4.82,4.86,FALSE,1,1,0,0,1.71,2154,"N/A",NA,1,TRUE,"Asheville",5.39155385130024,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,132
2,TRUE,FALSE,3,2,2,2,180,1,3,180,180,2,180,TRUE,0,17,47,225,202,20,0,4.93,4.98,4.97,4.93,4.95,4.93,4.9,FALSE,2,2,0,0,3.49,3153,"within an hour",1,1,TRUE,"Asheville",0.829888880579512,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,216
1,TRUE,TRUE,2,NA,1,2,7,2,3,7,7,2.1,7,TRUE,20,38,60,137,45,24,2,4.98,4.98,5,5,5,5,4.84,FALSE,1,1,0,0,1.01,947,"N/A",NA,NA,FALSE,"Asheville",0.460881196852582,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,101
2,TRUE,TRUE,2,NA,1,30,60,30,30,60,60,30,60,TRUE,30,60,90,90,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,1986,"within an hour",0.75,0.78,FALSE,"Others",2.96932087086093,"Private Room",FALSE,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,700
1,TRUE,TRUE,4,1,3,2,5,2,2,5,5,2,5,TRUE,30,60,90,90,79,19,2,4.89,4.9,4.97,4.94,4.95,4.97,4.78,FALSE,1,1,0,0,1.4,1754,"within an hour",1,1,TRUE,"Asheville",1.17983462272282,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,143
7,TRUE,TRUE,1,NA,1,1,14,1,1,1125,1125,1,1125,TRUE,23,39,69,69,244,61,1,4.86,4.85,4.87,4.94,4.9,4.93,4.81,TRUE,2,0,2,0,4.18,4157,"within an hour",1,0.99,FALSE,"Asheville",0.881583939861748,"Private Room",FALSE,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,62
1165,TRUE,FALSE,15,4,7,2,1125,2,3,1125,1125,2.1,1125,TRUE,9,24,52,323,100,8,0,4.82,4.83,4.78,4.96,4.92,4.78,4.77,TRUE,18,18,0,0,1.75,2097,"within an hour",0.98,0.99,FALSE,"Arden",8.92276407223937,"Entire Place",TRUE,3,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,267
1,TRUE,FALSE,2,NA,1,2,5,1,2,1125,1125,1.7,1125,TRUE,0,0,0,0,54,0,0,4.94,4.96,4.92,5,5,4.98,4.94,TRUE,1,0,1,0,0.93,4026,"N/A",NA,1,FALSE,"Asheville",1.22458489186637,"Private Room",FALSE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,68
1,TRUE,TRUE,2,1,1,2,30,2,2,1125,1125,2,1125,TRUE,0,0,0,0,91,6,1,4.86,4.98,4.98,4.99,4.98,4.92,4.88,FALSE,1,1,0,0,1.58,1750,"within an hour",1,1,FALSE,"Others",4.02910072136152,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89
1,TRUE,TRUE,2,1,1,1,1125,1,2,1125,1125,1.3,1125,TRUE,16,41,67,150,291,51,4,4.94,4.97,4.99,5,4.99,4.98,4.9,TRUE,1,1,0,0,5.05,2256,"within an hour",1,1,TRUE,"Asheville",1.8118703877411,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,98
6,TRUE,TRUE,5,1,1,1,100,1,3,1125,1125,1.6,1125,TRUE,2,11,23,83,17,1,0,5,5,5,5,5,5,5,FALSE,3,3,0,0,0.3,4060,"within an hour",1,1,TRUE,"Asheville",0.167932646530258,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,385
14,TRUE,TRUE,4,2,2,28,1125,28,28,1125,1125,28,1125,TRUE,0,0,0,185,22,6,0,4.95,4.95,4.95,5,4.91,5,4.77,TRUE,5,5,0,0,0.39,1787,"within an hour",1,0.99,TRUE,"Asheville",0.342456145773016,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,150
23,TRUE,FALSE,16,5,1,1,5,1,1,5,5,1,5,TRUE,9,34,58,139,1,0,0,5,5,5,5,5,5,5,FALSE,19,13,6,0,0.02,2098,"within an hour",1,1,FALSE,"Asheville",2.93214211378411,"Non-Traditional",TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,495
3,TRUE,TRUE,4,2,3,1,1125,1,2,1125,1125,1.3,1125,TRUE,12,25,38,288,199,40,1,4.95,4.94,5,4.89,4.98,4.64,4.9,FALSE,2,2,0,0,3.83,2475,"within an hour",1,1,TRUE,"Asheville",3.95611969024057,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,135
8,TRUE,FALSE,4,2,4,30,125,30,30,1125,1125,30,1125,TRUE,0,0,15,290,38,2,1,4.82,4.79,4.68,4.87,4.92,4.92,4.82,TRUE,2,2,0,0,1.15,2717,"within an hour",1,1,FALSE,"Others",1.25117132248086,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,165
2,TRUE,TRUE,4,2,2,2,30,2,2,1125,1125,2,1125,TRUE,12,39,69,69,186,29,1,4.85,4.96,4.94,5,5,4.98,4.88,FALSE,2,2,0,0,3.24,2590,"within an hour",1,0.94,TRUE,"Asheville",0.772322344835226,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,236
1,TRUE,TRUE,4,1,1,2,1125,2,2,1125,1125,2,1125,TRUE,8,24,54,144,314,48,4,4.97,4.98,5,4.99,4.98,4.98,4.96,TRUE,1,1,0,0,5.45,1844,"within an hour",1,1,TRUE,"Asheville",7.16564736853712,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72
4,TRUE,FALSE,4,2,2,2,21,2,2,1125,1125,2,1125,TRUE,30,60,90,365,111,8,0,4.97,4.97,5,4.99,4.98,4.92,4.87,FALSE,1,1,0,0,1.93,1738,"within an hour",1,1,TRUE,"Asheville",5.9217999327906,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,135
2,TRUE,FALSE,6,2,2,2,1125,2,2,1125,1125,2,1125,TRUE,20,39,69,157,125,31,2,4.98,4.98,4.98,4.98,4.98,4.94,4.94,TRUE,1,1,0,0,2.79,2098,"within an hour",1,1,TRUE,"Asheville",3.13300725111372,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,146
1,TRUE,FALSE,2,1,1,2,60,2,2,1125,1125,2,1125,TRUE,19,45,70,336,106,11,1,4.98,4.99,5,4.99,4.97,4.97,4.76,FALSE,1,1,0,0,1.85,2533,"within an hour",1,1,TRUE,"Asheville",1.59185405638552,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,252
2,TRUE,TRUE,4,2,2,30,1125,30,30,1125,1125,30,1125,TRUE,7,7,7,7,9,0,0,5,5,4.88,5,5,5,4.88,FALSE,1,1,0,0,0.16,3139,"within an hour",1,1,FALSE,"Asheville",3.73051571354473,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,89
1,TRUE,TRUE,2,1,1,30,365,30,30,365,365,30,365,TRUE,0,0,0,78,8,3,0,5,5,5,5,4.75,5,5,FALSE,1,1,0,0,0.14,1735,"N/A",NA,0.5,TRUE,"Asheville",3.33224235469456,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,40
1,TRUE,TRUE,6,3,3,3,1125,3,3,1125,1125,3,1125,TRUE,15,37,60,144,144,20,2,4.92,4.94,4.97,5,5,4.88,4.85,FALSE,1,1,0,0,2.52,2499,"within an hour",1,1,TRUE,"Asheville",4.39393503733798,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,180
1,TRUE,TRUE,2,1,1,1,1125,1,1,1125,1125,1,1125,TRUE,0,0,0,0,64,0,0,4.92,4.95,4.91,4.98,5,4.94,4.97,FALSE,1,1,0,0,1.12,2777,"N/A",NA,NA,FALSE,"Candler",6.50339636607066,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,79
14,TRUE,TRUE,6,2,3,2,30,2,2,30,30,2,30,TRUE,7,14,32,272,176,39,5,4.97,4.99,4.97,4.98,4.98,4.94,4.78,FALSE,3,3,0,0,3.19,2657,"within an hour",1,0.98,TRUE,"Asheville",0.276702379133542,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,232
1,TRUE,TRUE,4,2,2,2,1125,2,5,1125,1125,2.1,1125,TRUE,14,16,30,86,111,25,2,4.98,4.99,4.97,4.99,5,4.93,4.9,FALSE,1,1,0,0,1.95,3249,"within an hour",1,0.97,TRUE,"Asheville",2.42597230217175,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,225
1,TRUE,FALSE,4,1,2,2,1125,2,2,1125,1125,2,1125,TRUE,0,0,8,283,76,13,0,4.91,4.92,4.92,4.99,5,4.91,4.82,FALSE,1,1,0,0,1.33,1728,"N/A",NA,1,TRUE,"Asheville",5.23987007831902,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,85
4,TRUE,TRUE,10,3,5,2,999,1,6,1125,1125,4.9,1125,TRUE,11,28,49,308,286,62,4,4.96,4.97,4.9,4.99,4.99,4.95,4.85,FALSE,1,1,0,0,5.58,3371,"within an hour",1,1,TRUE,"Asheville",4.61035142471112,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,170
1,TRUE,TRUE,6,3,3,28,1125,28,28,1125,1125,28,1125,TRUE,14,14,14,87,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,1,1,0,0,NA,3669,"N/A",NA,NA,FALSE,"Others",2.5765991037394,"Entire Place",TRUE,2.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,290
11,TRUE,TRUE,10,4,6,1,28,1,3,1125,1125,1.4,1125,TRUE,10,31,58,333,132,15,0,4.63,4.69,4.59,4.86,4.56,4.64,4.61,TRUE,6,6,0,0,2.55,2960,"within an hour",0.93,0.99,FALSE,"Asheville",6.99729183128597,"Entire Place",TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,292
1,TRUE,TRUE,4,1,2,2,14,2,3,1125,1125,2.3,1125,TRUE,17,39,69,69,116,16,0,4.97,4.95,4.97,5,4.97,4.88,4.9,FALSE,1,1,0,0,2.03,2271,"within an hour",1,0.95,TRUE,"Asheville",3.89893111666744,"Non-Traditional",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,108
2,TRUE,TRUE,3,1,2,2,1125,1,2,1125,1125,2,1125,TRUE,24,45,75,324,129,12,0,5,5,4.99,4.99,5,4.98,4.95,TRUE,1,1,0,0,2.29,3011,"within an hour",1,1,TRUE,"Asheville",3.76032690346548,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,188
4,TRUE,FALSE,2,1,1,1,1125,1,1,1125,1125,1,1125,TRUE,21,21,21,250,165,15,1,4.76,4.86,4.85,4.93,4.83,4.76,4.7,FALSE,4,4,0,0,2.89,1935,"within an hour",1,0.99,TRUE,"Others",3.76248246744386,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,75
1,TRUE,TRUE,6,3,4,2,30,2,4,30,30,2.1,30,TRUE,10,20,35,260,155,31,3,4.99,4.99,5,4.98,4.99,4.95,4.95,FALSE,1,1,0,0,2.78,2022,"within an hour",1,1,TRUE,"Asheville",5.99431801956271,"Entire Place",TRUE,2.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,311
3,TRUE,TRUE,4,1,2,1,1125,2,4,1125,1125,3.7,1125,TRUE,20,46,63,63,298,40,0,4.98,4.98,5,5,4.99,4.94,4.91,FALSE,3,3,0,0,5.3,3651,"within an hour",1,0.99,TRUE,"Asheville",2.11119469300714,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,145
1,TRUE,FALSE,2,1,1,2,3,2,2,3,3,2,3,TRUE,8,28,50,196,138,19,2,4.96,4.96,4.99,4.99,5,4.93,4.82,FALSE,1,1,0,0,2.43,1717,"within an hour",1,1,TRUE,"Others",0.614891257129456,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,127
1,TRUE,TRUE,2,1,1,1,30,1,1,1125,1125,1,1125,TRUE,5,14,31,99,474,139,9,4.95,4.98,4.93,5,5,4.95,4.85,TRUE,1,1,0,0,8.34,2943,"within an hour",1,1,TRUE,"Asheville",1.37929086886254,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,125
2,TRUE,TRUE,3,NA,2,2,1125,2,2,1125,1125,2,1125,TRUE,6,34,61,229,266,51,3,4.97,4.98,4.97,4.98,4.97,4.98,4.93,FALSE,1,1,0,0,4.7,3043,"within an hour",1,1,TRUE,"Arden",7.92507787101003,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,118
2,TRUE,TRUE,2,1,1,2,5,2,2,1125,1125,2,1125,TRUE,0,0,0,0,549,79,4,4.99,4.99,5,5,4.99,4.95,4.93,TRUE,1,1,0,0,9.64,3791,"within an hour",1,0.99,TRUE,"Asheville",2.40246523701125,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,127
5,TRUE,FALSE,4,2,2,2,14,2,2,1125,1125,2,1125,TRUE,24,54,68,343,94,10,1,4.9,4.97,4.94,4.96,4.99,4.78,4.85,FALSE,5,5,0,0,1.65,2420,"within an hour",1,0.95,TRUE,"Others",5.85455279554223,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100
5,TRUE,FALSE,4,2,2,3,14,3,3,1125,1125,3,1125,TRUE,9,13,31,121,38,3,1,4.89,5,5,4.97,5,4.76,4.76,FALSE,5,5,0,0,0.72,2420,"within an hour",1,0.95,TRUE,"Avery Creek",5.91239424300532,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90
1,TRUE,TRUE,2,NA,1,1,14,1,1,1125,1125,1,1125,TRUE,6,23,43,298,449,55,3,5,5,5,5,5,4.98,4.98,TRUE,1,1,0,0,8.18,1876,"within an hour",1,1,TRUE,"Asheville",3.93778737751702,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,103
1,TRUE,FALSE,3,1,3,2,1125,2,2,1125,1125,2,1125,TRUE,11,27,57,57,278,38,4,4.88,4.95,4.88,4.98,4.99,4.94,4.94,TRUE,1,0,1,0,4.89,2900,"within an hour",1,1,TRUE,"Asheville",5.96123677164379,"Private Room",FALSE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,72
1,TRUE,TRUE,3,1,1,3,1125,3,3,1125,1125,3,1125,TRUE,25,55,85,175,129,21,1,4.94,4.99,5,4.95,4.95,4.94,4.93,TRUE,1,1,0,0,2.75,2683,"within an hour",1,1,TRUE,"Asheville",2.85004989319303,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,101
163,TRUE,TRUE,16,7,11,1,1125,2,4,26,29,2.7,28.2,TRUE,8,26,46,306,18,4,0,4.78,4.89,4.72,5,4.56,4.94,4.39,TRUE,34,34,0,0,0.39,2196,"within an hour",1,1,FALSE,"Others",8.02232849509264,"Entire Place",TRUE,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,379
16,TRUE,TRUE,4,2,3,2,1125,2,2,1125,1125,2,1125,TRUE,0,0,0,0,67,0,0,4.85,4.97,4.69,5,4.99,4.94,4.9,FALSE,1,1,0,0,1.19,1734,"within an hour",1,1,TRUE,"Asheville",4.75635917917016,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,110
163,TRUE,TRUE,8,3,4,1,1125,2,4,26,29,2.7,28.2,TRUE,17,41,65,334,13,3,0,4.62,4.92,4.62,5,4.85,4.92,4.62,TRUE,34,34,0,0,0.25,2196,"within an hour",1,1,FALSE,"Others",4.13488115967753,"Entire Place",TRUE,3.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,227
163,TRUE,TRUE,2,1,2,1,1125,2,4,26,29,2.5,28.2,TRUE,11,37,67,342,16,3,1,4.81,4.75,4.75,4.88,4.88,4.63,4.63,TRUE,34,34,0,0,0.34,2196,"within an hour",1,1,FALSE,"Others",5.71147494796548,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,64
1,TRUE,TRUE,3,1,1,1,7,1,2,1125,1125,1.3,1125,TRUE,0,16,38,128,222,26,1,4.92,4.93,4.95,4.97,4.98,4.94,4.91,TRUE,1,1,0,0,3.93,1700,"within an hour",1,1,TRUE,"Asheville",2.55107490612074,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,87
5,TRUE,TRUE,6,3,3,2,21,2,2,21,21,2,21,TRUE,10,22,47,125,223,58,7,4.99,4.98,4.98,4.97,4.98,4.91,4.94,TRUE,3,3,0,0,4.16,3079,"within an hour",1,1,TRUE,"Asheville",3.3357799892964,"Entire Place",TRUE,2.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121
5,TRUE,TRUE,5,2,2,2,1125,2,2,1125,1125,2,1125,TRUE,3,3,3,3,71,8,2,4.91,4.89,4.8,4.97,5,4.94,4.86,FALSE,1,1,0,0,1.26,1859,"within an hour",1,1,FALSE,"Asheville",2.7909763289628,"Entire Place",TRUE,2.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,154
1,TRUE,TRUE,6,3,4,1,1125,2,4,1125,1125,3.2,1125,TRUE,11,25,25,25,178,46,3,4.97,4.98,4.98,4.99,4.99,4.84,4.94,FALSE,1,1,0,0,3.16,4114,"within an hour",1,1,TRUE,"Others",5.23102814373184,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,199
9,TRUE,TRUE,2,1,2,2,1125,2,3,1125,1125,2.1,1125,TRUE,8,14,14,179,67,16,2,4.91,4.91,4.85,4.99,4.99,4.96,4.84,FALSE,1,1,0,0,1.2,4721,"within a day",1,0.89,TRUE,"Asheville",4.66974099374716,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67
1,TRUE,TRUE,4,1,4,2,1125,2,2,1125,1125,2,1125,TRUE,24,54,84,84,58,13,2,4.95,4.95,4.95,4.98,4.98,4.93,4.83,FALSE,1,1,0,0,1.04,3582,"within an hour",1,0.89,TRUE,"Asheville",2.16187213711064,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,155
2,TRUE,FALSE,4,2,2,2,28,2,2,1125,1125,2,1125,TRUE,24,45,75,251,192,36,2,4.89,4.95,4.95,4.98,4.98,4.98,4.81,TRUE,1,1,0,0,3.47,3067,"within an hour",1,0.97,TRUE,"Asheville",2.4192115662704,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,147
1,TRUE,TRUE,5,2,2,2,30,2,3,1125,1125,2.1,1125,TRUE,11,27,57,215,290,60,1,4.87,4.93,4.92,4.97,4.92,4.92,4.76,TRUE,1,1,0,0,5.45,3094,"N/A",NA,NA,FALSE,"Asheville",0.635396420261027,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,250
5,TRUE,TRUE,2,NA,1,28,1125,28,28,1125,1125,28,1125,TRUE,0,0,0,157,6,3,1,5,5,4.83,5,4.83,5,4.67,TRUE,2,2,0,0,0.16,3472,"within an hour",1,1,FALSE,"Others",0.391454654940719,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,69
2,TRUE,TRUE,2,1,1,1,7,1,2,1125,1125,1.3,1125,TRUE,13,38,68,339,48,4,1,4.94,4.94,5,4.94,4.94,4.88,4.96,FALSE,2,1,1,0,0.93,4656,"within an hour",1,1,FALSE,"Asheville",2.1941078640823,"Private Room",FALSE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,95
1,TRUE,TRUE,10,3,7,2,300,2,2,300,300,2,300,TRUE,19,37,58,145,183,29,3,4.97,5,4.93,4.99,4.96,4.92,4.89,FALSE,1,1,0,0,3.31,2369,"within an hour",1,1,TRUE,"Asheville",5.87865289169139,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,645
1,TRUE,TRUE,2,NA,1,2,30,2,2,30,30,2,30,TRUE,0,0,5,5,27,5,0,4.85,4.88,5,4.96,5,5,4.81,FALSE,1,0,1,0,0.48,3438,"N/A",NA,0.88,FALSE,"Asheville",1.69413253609615,"Private Room",FALSE,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,80
1,TRUE,TRUE,6,3,3,2,45,2,2,1125,1125,2,1125,TRUE,6,12,27,106,142,61,4,4.94,4.96,4.93,4.99,4.99,4.95,4.84,FALSE,1,1,0,0,2.59,3868,"within an hour",1,1,TRUE,"Asheville",2.41480426959641,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,309
5,TRUE,TRUE,16,6,13,2,14,2,3,2,14,2.4,12.6,TRUE,17,30,48,298,75,7,0,5,4.99,4.96,4.99,5,4.99,4.96,TRUE,4,4,0,0,1.53,2364,"within an hour",1,1,TRUE,"Asheville",2.05264256932555,"Entire Place",TRUE,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,713
3,TRUE,TRUE,2,1,1,2,28,2,2,1125,1125,2,1125,TRUE,7,20,37,114,110,89,7,4.99,5,5,4.95,4.99,4.83,4.95,TRUE,2,2,0,0,7.52,1862,"within an hour",1,1,TRUE,"Asheville",4.09669367667909,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,108
163,TRUE,TRUE,9,4,6,1,1125,2,4,26,29,2.7,28.2,TRUE,21,36,66,331,44,18,3,4.75,4.86,4.64,4.89,4.75,4.91,4.61,TRUE,34,34,0,0,0.88,2196,"within an hour",1,1,FALSE,"Others",4.39458785068293,"Entire Place",TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,156
